Grado,Asignatura,ID,Errors
7,Matemáticas,CO-MAT-7-GEOMETRIA-001,"V3.0: Missing Periodo"
7,Matemáticas,CO-MAT-7-RACIONALES-001,"V3.0: Missing Periodo"
7,matematicas,CO-MAT-07-proporciones-001,"V3.0: Missing Periodo"
8,matematicas,CO-MAT-08-algebra-001,"V3.0: Missing Periodo"
8,Matemáticas,CO-MAT-8-ALGEBRA-001,"V3.0: Missing Periodo"
8,Matemáticas,CO-MAT-8-ECUACIONES-001,"V3.0: Missing Periodo"
8,Matemáticas,CO-MAT-8-ecuaciones-001,"V3.0: Missing Periodo"
8,Matemáticas,CO-MAT-8-ESTADISTICA-001,"V3.0: Missing Periodo"
8,Matemáticas,CO-MAT-8-GEOMETRIA-001,"V3.0: Missing Periodo"
8,Matemáticas,CO-MAT-8-NUMEROS-001,"V3.0: Missing Periodo"
9,Matemáticas,CO-MAT-9-ALGEBRA-002,"V3.0: Missing Periodo"
9,matematicas,CO-MAT-9-algebra-ecuaciones-001,"V3.0: Missing Periodo"
9,Matemáticas,CO-MAT-9-ESTADISTICA-001,"V3.0: Missing Periodo"
9,matematicas,CO-MAT-9-estadistica-basica-001,"V3.0: Missing Periodo"
9,Matemáticas,CO-MAT-9-FUNCIONES-002,"V3.0: Missing Periodo"
9,matematicas,CO-MAT-9-funciones-lineales-001,"V3.0: Missing Periodo"
9,Matemáticas,CO-MAT-9-GEOMETRIA-002,"V3.0: Missing Periodo"
9,matematicas,CO-MAT-9-geometria-2d-001,"V3.0: Missing Periodo"
9,Matemáticas,CO-MAT-9-pitagoras-001,"V3.0: Missing Periodo"
9,matematicas,CO-MAT-09-ecuaciones-001,"V3.0: Missing Periodo"
10,Sociales y Ciudadanas,CO-SOC-10-COLOMBIA-ECON-001,"V3.0: Missing Periodo"
10,sociales-ciudadanas,CO-SOC-10-conflictos-internacionales-001,"V3.0: Missing Periodo"
10,Sociales y Ciudadanas,CO-SOC-10-CONSTITUCION-001,"V3.0: Missing Periodo"
10,sociales-ciudadanas,CO-SOC-10-derechos-humanos-dih-001,"V3.0: Missing Periodo"
10,sociales-ciudadanas,CO-SOC-10-desarrollo-sostenible-001,"V3.0: Missing Periodo"
10,sociales-ciudadanas,CO-SOC-10-diversidad-etnica-001,"V3.0: Missing Periodo"
10,Sociales y Ciudadanas,CO-SOC-10-POLITICA-001,"V3.0: Missing Periodo"
10,Sociales y Ciudadanas,CO-SOC-10-VIOLENCIA-001,"V3.0: Missing Periodo"
11,sociales-ciudadanas,CO-SOC-11-ambiente-001,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,CO-SOC-11-constitucion-001,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,CO-SOC-11-economia-001,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,CO-SOC-11-geografia-001,"V3.0: Missing Periodo"
11,sociales-ciudadanas,CO-SOC-11-globalizacioncultural-001,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,CO-SOC-11-historia-001,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,CO-SOC-11-HR-001,"V3.0: Missing Periodo"
11,sociales-ciudadanas,CO-SOC-11-participacion-001,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,CO-SOC-11-TUT-001,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,CO-SOC-11-TUT-002,"V3.0: Missing Periodo"
11,sociales-ciudadanas,CO-SOC-11-violencia-001,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,SOC06513-01,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,SOC07755-01,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,SOC08516-01,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,SOC21732-01,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,SOC30639-01,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,SOC35240-01,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,SOC45952-01,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,SOC82159-01,"V3.0: Missing Periodo"
11,Sociales y Ciudadanas,SOC93999-01,"V3.0: Missing Periodo"
6,Sociales,CO-SOC-6-BLOCKCHAIN-001,"V3.0: Missing Periodo"
6,Sociales y Ciudadanas,CO-SOC-6-civilizaciones-antiguas-001,"V3.0: Missing Periodo"
6,Sociales,CO-SOC-6-COMP-001,"V3.0: Missing Periodo"
6,Sociales,CO-SOC-6-DATOS-001,"V3.0: Missing Periodo"
6,Sociales,CO-SOC-6-DEMOCRACIA-001,"V3.0: Missing Periodo"
6,Sociales y Ciudadanas,CO-SOC-6-DEMOCRACIA-002,"V3.0: Missing Periodo"
6,Sociales y Ciudadanas,CO-SOC-6-geografia-colombia-001,"V3.0: Missing Periodo"
6,Sociales y Ciudadanas,CO-SOC-6-historia-001,"V3.0: Missing Periodo"
6,Sociales y Ciudadanas,CO-SOC-6-universo-001,"V3.0: Missing Periodo"
8,Sociales y Ciudadanas,CO-SOC-8-AMBIENTE-001,"V3.0: Missing Periodo"
8,Sociales y Ciudadanas,CO-SOC-8-DEMOGRAFIA-001,"V3.0: Missing Periodo"
